Test Name,,,,,,SW_SIT,SW_DC,SW_LV_DIE1,CONT4,PRE_OS_GS1,PRE_OS_DS1,SW_LV_DIE2,PRE_OS_GS2,PRE_OS_DS2,SW_LV_DIE,PRE_OS_GS3,PRE_OS_DS3,IGSS1_1,IGSS1_2,BVSS,ISS1,VGS(OFF),RSSON1,RSSON2,VFSS,IGSS2_1,IGSS2_2,ISS2,POST_OS_CHK
Bias1,,,,,,,,,IB=1.000mA,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,VSG=-20.00V,VSG=20.00V,IS2=250.0uA,VS2S1=100.0V,IS2=250.0uA,IS2=15.00A,IS2=15.00A,IS1=3.000A,VSG=-16.00V,VSG=16.00V,VS2S1=80.00V,IS2=250.0uA
Bias2,,,,,,,,,,,VG2S2=0.000V,,,VG2S2=0.000V,,,VG2S2=0.000V,,,,,VG2S2=0.000V,VG1=10.0V,VG1=4.50V,VGS2=10.0V,,,,VG2S2=0.000V
Bias3,,,,,,,,,,,,,,,,,,,,Vmax=200V,,,VG2=10.0V,VG2=4.50V,,,,,
6,3456,1,1,5,65,1.0000,1.0000,1.0000,6.2013,-0.0017,1.4738,1.0000,-0.0012,1.4738,1.0000,-0.0018,1.4729,-2.2231,6.5363,114.57,1.2569,1.4741,42.625,55.155,0.6770,-2.0520,5.1399,0.7229,1.4735
7,3457,1,1,4,64,1.0000,1.0000,1.0000,8.0383,-0.0023,1.4726,1.0000,-0.0009,1.4732,1.0000,-0.0005,1.4735,-0.3200,4.2386,114.24,1.2874,1.4741,42.860,55.398,0.6770,-0.5827,4.2936,0.7379,1.4729
8,3458,1,1,4,65,1.0000,1.0000,1.0000,7.9592,-0.0026,1.4726,1.0000,-0.0004,1.4723,1.0000,-0.0005,1.4729,-2.1253,3.6397,114.24,1.2874,1.4729,42.860,55.398,0.6770,-1.9879,3.6764,0.7345,1.4726
1,3459,1,1,11,64,1.0000,1.0000,1.0000,5.2280,-0.0008,1.4528,1.0000,-0.0025,1.4513,1.0000,-0.0009,1.4528,-3.2556,4.2477,114.76,1.2965,1.4531,42.055,54.485,0.6748,-2.3025,2.0814,0.7388,1.4531
2,3460,1,1,11,65,1.0000,1.0000,1.0000,5.2341,-0.0007,1.4534,1.0000,-0.0020,1.4519,1.0000,-0.0001,1.4516,-1.8107,6.0932,114.76,1.2965,1.4525,42.108,54.546,0.6745,-0.7874,3.0378,0.7382,1.4519
3,3461,1,1,10,64,1.0000,1.0000,1.0000,6.3138,-0.0007,1.4595,1.0000,-0.0004,1.4583,1.0000,-0.0013,1.4595,-1.9054,7.4132,114.73,1.2721,1.4601,42.015,54.485,0.6754,-2.4797,5.0483,0.7290,1.4598
4,3462,1,1,10,65,1.0000,1.0000,1.0000,6.0309,-0.0025,1.4595,1.0000,-0.0021,1.4586,1.0000,-0.0009,1.4586,-2.2414,5.1216,114.66,1.2691,1.4589,42.033,54.505,0.6748,-2.0795,5.4394,0.7229,1.4586
5,3463,1,1,9,64,1.0000,1.0000,1.0000,5.9427,-0.0010,1.4626,1.0000,-0.0019,1.4629,1.0000,-0.0010,1.4635,-0.4208,4.6174,114.60,1.2691,1.4638,42.226,54.728,0.6763,-0.1947,4.4952,0.7269,1.4632
6,3464,1,1,9,65,1.0000,1.0000,1.0000,5.7572,-0.0029,1.4629,1.0000,-0.0011,1.4623,1.0000,-0.0018,1.4626,-1.4289,5.1552,114.66,1.2599,1.4632,42.242,54.769,0.6760,-1.0928,2.6069,0.7205,1.4626
7,3465,1,1,8,64,1.0000,1.0000,1.0000,9.6350,-0.0009,1.4644,1.0000,-0.0003,1.4641,1.0000,-0.0019,1.4644,-1.2883,4.7549,114.66,1.2752,1.4650,42.198,54.708,0.6754,-1.9634,4.2630,0.7336,1.4644
8,3466,1,1,8,65,1.0000,1.0000,1.0000,9.9301,-0.0012,1.4647,1.0000,-0.0007,1.4644,1.0000,0.0000,1.4641,-1.4961,5.9007,114.66,1.2752,1.4650,42.216,54.749,0.6748,-1.0531,4.8252,0.7303,1.4641
1,3467,1,1,15,64,1.0000,1.0000,1.0000,5.5960,-0.0013,1.4461,1.0000,-0.0041,1.4458,1.0000,-0.0011,1.4467,-3.2953,4.8894,114.82,1.2843,1.4476,41.938,54.323,0.6754,-2.4583,2.2311,0.7214,1.4470
2,3468,1,1,15,65,1.0000,1.0000,1.0000,5.3649,-0.0007,1.4476,1.0000,-0.0003,1.4473,1.0000,-0.0002,1.4467,-1.3830,6.2704,114.79,1.2874,1.4480,41.958,54.363,0.6751,-0.8423,3.5633,0.7217,1.4470
3,3469,1,1,14,64,1.0000,1.0000,1.0000,5.4379,-0.0003,1.4513,1.0000,-0.0006,1.4507,1.0000,-0.0016,1.4510,-3.3778,7.5323,114.82,1.2599,1.4516,41.901,54.262,0.6760,-2.5011,4.2569,0.7147,1.4507
4,3470,1,1,14,65,1.0000,1.0000,1.0000,6.1769,-0.0010,1.4513,1.0000,-0.0043,1.4513,1.0000,-0.0003,1.4510,-0.4788,6.7654,114.76,1.2569,1.4519,41.938,54.323,0.6757,-0.5460,4.8038,0.7095,1.4507
5,3471,1,1,13,64,1.0000,1.0000,1.0000,5.6234,-0.0007,1.4513,1.0000,-0.0041,1.4501,1.0000,-0.0007,1.4504,-2.6691,6.4477,114.73,1.2843,1.4513,42.104,54.485,0.6757,-2.7821,5.2377,0.7294,1.4510
6,3472,1,1,13,65,1.0000,1.0000,1.0000,6.0614,-0.0012,1.4510,1.0000,-0.0017,1.4504,1.0000,-0.0003,1.4501,-0.7538,4.9077,114.73,1.2752,1.4504,42.127,54.525,0.6757,-0.2161,5.1185,0.7211,1.4498
7,3473,1,1,12,64,1.0000,1.0000,1.0000,8.2816,-0.0035,1.4495,1.0000,0.0000,1.4483,1.0000,-0.0019,1.4495,-0.8851,4.1102,114.70,1.3118,1.4501,42.064,54.485,0.6751,-0.0787,2.0906,0.7452,1.4495
8,3474,1,1,12,65,1.0000,1.0000,1.0000,8.1539,-0.0020,1.4498,1.0000,-0.0006,1.4483,1.0000,-0.0010,1.4483,-3.0631,5.4760,114.73,1.3057,1.4489,42.070,54.485,0.6745,-2.1376,2.7292,0.7403,1.4483
1,3475,1,1,19,64,1.0000,1.0000,1.0000,4.8569,-0.0047,1.4504,1.0000,-0.0007,1.4513,1.0000,-0.0067,1.4504,-2.5805,5.8793,114.94,1.2660,1.4516,42.173,54.627,0.6760,-2.1131,4.0155,0.7089,1.4513
2,3476,1,1,19,65,1.0000,1.0000,1.0000,5.1003,-0.0004,1.4516,1.0000,-0.0003,1.4516,1.0000,-0.0015,1.4516,-3.3136,5.4149,114.97,1.2630,1.4525,42.173,54.667,0.6757,-2.4736,2.6008,0.7068,1.4516
3,3477,1,1,18,64,1.0000,1.0000,1.0000,6.2955,-0.0007,1.4531,1.0000,-0.0011,1.4534,1.0000,-0.0022,1.4525,-1.9940,7.3551,114.82,1.2538,1.4534,41.952,54.404,0.6757,-1.6855,6.1543,0.7034,1.4525
4,3478,1,1,18,65,1.0000,1.0000,1.0000,6.3108,-0.0007,1.4531,1.0000,-0.0008,1.4531,1.0000,-0.0009,1.4534,-1.3219,5.6013,114.82,1.2508,1.4537,41.962,54.404,0.6760,-2.2536,5.0880,0.7001,1.4531
5,3479,1,1,17,64,1.0000,1.0000,1.0000,5.4257,-0.0007,1.4504,1.0000,-0.0024,1.4507,1.0000,-0.0006,1.4501,-0.9218,5.9496,114.79,1.2569,1.4513,42.098,54.546,0.6766,-0.6682,5.5585,0.7059,1.4504
6,3480,1,1,17,65,1.0000,1.0000,1.0000,5.6203,-0.0085,1.4501,1.0000,-0.0004,1.4504,1.0000,-0.0022,1.4510,-0.5063,3.8475,114.76,1.2569,1.4507,42.106,54.566,0.6766,-0.3047,3.6030,0.7019,1.4504
7,3481,1,1,16,64,1.0000,1.0000,1.0000,7.4847,-0.0048,1.4467,1.0000,-0.0007,1.4461,1.0000,-0.0025,1.4467,-2.3239,3.8138,114.79,1.2843,1.4470,42.053,54.444,0.6757,-1.1600,3.2089,0.7202,1.4464
8,3482,1,1,16,65,1.0000,1.0000,1.0000,6.9890,-0.0006,1.4467,1.0000,-0.0008,1.4455,1.0000,-0.0004,1.4461,-1.8687,3.5022,114.73,1.2874,1.4461,42.055,54.465,0.6754,-1.9237,3.4869,0.7202,1.4461
1,3483,1,1,23,64,1.0000,1.0000,1.0000,4.9239,-0.0005,1.4507,1.0000,-0.0027,1.4522,1.0000,-0.0018,1.4513,-2.7118,4.8558,115.06,1.2538,1.4522,42.277,54.749,0.6763,-2.4094,1.9622,0.7034,1.4516
2,3484,1,1,23,65,1.0000,1.0000,1.0000,5.2797,-0.0001,1.4522,1.0000,-0.0004,1.4531,1.0000,-0.0006,1.4528,-1.7985,6.0627,115.09,1.2477,1.4540,42.293,54.810,0.6763,-0.7202,2.8728,0.7004,1.4531
3,3485,1,1,22,64,1.0000,1.0000,1.0000,5.4135,-0.0009,1.4550,1.0000,-0.0004,1.4546,1.0000,-0.0008,1.4546,-3.4114,6.7532,115.06,1.2356,1.4546,42.220,54.708,0.6766,-2.4919,3.8719,0.6961,1.4543
4,3486,1,1,22,65,1.0000,1.0000,1.0000,5.7876,-0.0003,1.4550,1.0000,-0.0020,1.4550,1.0000,-0.0004,1.4546,-1.0898,7.1229,115.06,1.2325,1.4559,42.253,54.728,0.6766,-0.5521,4.4738,0.6928,1.4550
5,3487,1,1,21,64,1.0000,1.0000,1.0000,5.4865,-0.0007,1.4553,1.0000,-0.0014,1.4559,1.0000,-0.0008,1.4559,-0.4697,4.8466,114.94,1.2386,1.4562,42.320,54.830,0.6770,-0.7690,4.9169,0.6986,1.4559
6,3488,1,1,21,65,1.0000,1.0000,1.0000,4.9999,-0.0005,1.4559,1.0000,-0.0048,1.4559,1.0000,-0.0007,1.4556,-0.4758,6.4660,114.97,1.2356,1.4565,42.336,54.830,0.6766,-0.4911,4.5563,0.6937,1.4556
7,3489,1,1,20,64,1.0000,1.0000,1.0000,8.0048,-0.0031,1.4522,1.0000,-0.0002,1.4534,1.0000,-0.0012,1.4528,-0.5735,3.2730,114.94,1.2660,1.4531,42.177,54.647,0.6763,-0.0984,2.8086,0.7108,1.4525
8,3490,1,1,20,65,1.0000,1.0000,1.0000,8.0261,-0.0011,1.4525,1.0000,-0.0008,1.4534,1.0000,-0.0002,1.4534,-2.8157,4.3913,115.00,1.2660,1.4537,42.175,54.688,0.6760,-1.7649,3.0622,0.7074,1.4528
1,3491,1,1,27,64,1.0000,1.0000,1.0000,3.8654,-0.0023,1.4613,1.0000,-0.0046,1.4616,1.0000,-0.0002,1.4620,-2.6996,2.9828,115.15,1.1441,1.4626,41.844,54.282,0.6782,-2.2475,3.1691,0.6400,1.4620
2,3492,1,1,27,65,1.0000,1.0000,1.0000,4.0175,-0.0016,1.4620,1.0000,-0.0013,1.4623,1.0000,-0.0017,1.4623,-2.3575,4.2508,115.18,1.1411,1.4623,41.870,54.323,0.6776,-0.7690,2.4908,0.6413,1.4613
3,3493,1,1,26,64,1.0000,1.0000,1.0000,4.0145,-0.0014,1.4641,1.0000,-0.0002,1.4644,1.0000,-0.0009,1.4641,-2.9012,5.2469,115.09,1.1197,1.4641,41.903,54.343,0.6794,-2.2720,3.5633,0.6285,1.4638
4,3494,1,1,26,65,1.0000,1.0000,1.0000,4.4464,-0.0001,1.4641,1.0000,-0.0005,1.4644,1.0000,-0.0009,1.4641,-2.6477,6.8724,115.15,1.1167,1.4647,41.946,54.404,0.6791,-2.0154,3.8352,0.6254,1.4641
5,3495,1,1,25,64,1.0000,1.0000,1.0000,3.8411,-0.0014,1.4638,1.0000,-0.0001,1.4647,1.0000,-0.0006,1.4641,-0.7079,6.2521,115.03,1.1258,1.4644,42.033,54.465,0.6788,-0.9554,4.2416,0.6327,1.4641
6,3496,1,1,25,65,1.0000,1.0000,1.0000,4.1027,-0.0004,1.4638,1.0000,-0.0006,1.4641,1.0000,-0.0002,1.4638,-1.0012,6.2552,115.09,1.1258,1.4647,42.060,54.505,0.6794,-0.1306,2.9736,0.6291,1.4638
7,3497,1,1,24,64,1.0000,1.0000,1.0000,4.1392,-0.0017,1.4598,1.0000,-0.0009,1.4613,1.0000,-0.0017,1.4601,-0.7660,3.5175,115.06,1.1715,1.4607,41.925,54.363,0.6779,-0.3245,3.1294,0.6550,1.4595
8,3498,1,1,24,65,1.0000,1.0000,1.0000,4.4159,-0.0021,1.4595,1.0000,-0.0004,1.4604,1.0000,-0.0002,1.4607,-1.5236,4.2844,115.06,1.1685,1.4610,41.931,54.404,0.6779,-1.2181,2.0020,0.6507,1.4607
1,3499,1,1,31,64,1.0000,1.0000,1.0000,4.0723,-0.0013,1.4516,1.0000,-0.0042,1.4537,1.0000,-0.0010,1.4528,-0.4330,3.6427,115.40,1.1746,1.4537,41.535,53.937,0.6770,-0.3078,3.9086,0.6669,1.4531
2,3500,1,1,31,65,1.0000,1.0000,1.0000,4.3642,-0.0007,1.4531,1.0000,-0.0001,1.4537,1.0000,-0.0004,1.4543,-2.5744,3.2364,115.36,1.1746,1.4540,41.535,53.937,0.6763,-2.2414,2.9889,0.6684,1.4537
3,3501,1,1,30,64,1.0000,1.0000,1.0000,4.2243,-0.0045,1.4577,1.0000,-0.0002,1.4583,1.0000,-0.0022,1.4577,-0.8607,6.1207,115.36,1.1441,1.4586,41.641,54.018,0.6776,-1.5694,5.4516,0.6534,1.4577
4,3502,1,1,30,65,1.0000,1.0000,1.0000,4.5041,-0.0014,1.4577,1.0000,-0.0010,1.4586,1.0000,-0.0029,1.4583,-1.9634,5.2010,115.36,1.1441,1.4586,41.657,54.018,0.6773,-1.7191,5.3569,0.6495,1.4580
5,3503,1,1,29,64,1.0000,1.0000,1.0000,3.9324,-0.0019,1.4601,1.0000,-0.0043,1.4595,1.0000,-0.0012,1.4604,-0.8149,4.9291,115.36,1.1380,1.4607,41.746,54.140,0.6782,-0.1351,3.0775,0.6477,1.4598
6,3504,1,1,29,65,1.0000,1.0000,1.0000,4.1057,-0.0024,1.4604,1.0000,-0.0025,1.4589,1.0000,-0.0018,1.4589,-2.8524,5.3477,115.33,1.1319,1.4592,41.771,54.140,0.6782,-2.1009,2.6131,0.6437,1.4589
7,3505,1,1,28,64,1.0000,1.0000,1.0000,4.5498,-0.0023,1.4592,1.0000,-0.0005,1.4583,1.0000,-0.0067,1.4589,-1.6091,5.9527,115.33,1.1654,1.4598,41.862,54.282,0.6773,-0.6530,3.2608,0.6580,1.4589
8,3506,1,1,28,65,1.0000,1.0000,1.0000,4.3338,-0.0005,1.4586,1.0000,-0.0016,1.4580,1.0000,-0.0005,1.4586,-0.2039,3.9575,115.27,1.1624,1.4589,41.862,54.302,0.6770,-0.4972,4.1836,0.6580,1.4586
1,3507,1,1,35,64,1.0000,1.0000,1.0000,4.3429,-0.0014,1.4543,1.0000,-0.0007,1.4562,1.0000,-0.0015,1.4550,-1.2944,5.4821,115.52,1.1624,1.4565,41.346,53.795,0.6773,-0.5247,2.3564,0.6641,1.4553
2,3508,1,1,35,65,1.0000,1.0000,1.0000,4.4646,-0.0027,1.4559,1.0000,-0.0004,1.4574,1.0000,-0.0014,1.4577,-1.0745,4.6847,115.49,1.1654,1.4580,41.354,53.795,0.6770,-1.9023,4.1499,0.6687,1.4574
3,3509,1,1,34,64,1.0000,1.0000,1.0000,4.4646,-0.0047,1.4577,1.0000,-0.0009,1.4592,1.0000,-0.0090,1.4577,-2.1681,6.1971,115.49,1.1502,1.4583,41.336,53.734,0.6770,-1.7527,6.0443,0.6595,1.4574
4,3510,1,1,34,65,1.0000,1.0000,1.0000,4.3125,-0.0021,1.4574,1.0000,-0.0006,1.4589,1.0000,-0.0002,1.4589,-1.3861,4.7794,115.49,1.1441,1.4592,41.354,53.754,0.6773,-2.1589,4.9871,0.6565,1.4589
5,3511,1,1,33,64,1.0000,1.0000,1.0000,4.2639,-0.0019,1.4562,1.0000,-0.0003,1.4568,1.0000,-0.0015,1.4559,-3.1273,5.2071,115.52,1.1563,1.4562,41.366,53.754,0.6776,-2.1101,3.1264,0.6632,1.4559
6,3512,1,1,33,65,1.0000,1.0000,1.0000,4.0814,-0.0030,1.4562,1.0000,-0.0046,1.4565,1.0000,-0.0017,1.4565,-0.7538,6.1116,115.52,1.1502,1.4574,41.399,53.795,0.6776,-0.0970,2.8911,0.6592,1.4562
7,3513,1,1,32,64,1.0000,1.0000,1.0000,4.1209,-0.0013,1.4522,1.0000,-0.0010,1.4522,1.0000,-0.0010,1.4516,-3.0051,5.1430,115.52,1.1837,1.4522,41.442,53.836,0.6760,-1.9818,2.4481,0.6784,1.4513
8,3514,1,1,32,65,1.0000,1.0000,1.0000,4.4555,-0.0036,1.4516,1.0000,-0.0012,1.4519,1.0000,-0.0033,1.4522,-1.4350,4.1561,115.49,1.1807,1.4522,41.442,53.856,0.6763,-1.0256,1.9989,0.6766,1.4519
1,3515,1,1,39,64,1.0000,1.0000,1.0000,4.0266,-0.0016,1.4592,1.0000,-0.0002,1.4620,1.0000,-0.0009,1.4601,-0.6591,4.2630,115.40,1.1807,1.4610,41.635,54.180,0.6766,-1.0562,3.9391,0.6702,1.4607
2,3516,1,1,39,65,1.0000,1.0000,1.0000,4.4190,-0.0030,1.4598,1.0000,-0.0001,1.4626,1.0000,-0.0014,1.4629,-2.4339,3.6152,115.40,1.1837,1.4626,41.645,54.180,0.6770,-2.1192,2.3595,0.6714,1.4626
3,3517,1,1,38,64,1.0000,1.0000,1.0000,4.3186,-0.0038,1.4610,1.0000,-0.0006,1.4635,1.0000,-0.0004,1.4610,-2.2475,6.7257,115.46,1.1533,1.4616,41.446,53.937,0.6776,-0.6682,3.6641,0.6611,1.4610
4,3518,1,1,38,65,1.0000,1.0000,1.0000,4.0783,-0.0021,1.4613,1.0000,-0.0018,1.4629,1.0000,-0.0002,1.4632,-2.7729,5.6410,115.43,1.1563,1.4635,41.472,53.978,0.6773,-2.2109,2.7658,0.6605,1.4632
5,3519,1,1,37,64,1.0000,1.0000,1.0000,4.6197,-0.0029,1.4613,1.0000,-0.0004,1.4629,1.0000,-0.0042,1.4604,-2.5163,6.9762,115.52,1.1563,1.4613,41.372,53.836,0.6770,-2.1498,4.9627,0.6641,1.4607
6,3520,1,1,37,65,1.0000,1.0000,1.0000,4.5498,-0.0008,1.4604,1.0000,-0.0016,1.4626,1.0000,-0.0015,1.4629,-0.1381,4.4463,115.46,1.1533,1.4632,41.399,53.856,0.6773,-0.1167,4.5380,0.6623,1.4623
7,3521,1,1,36,64,1.0000,1.0000,1.0000,4.3338,-0.0031,1.4556,1.0000,-0.0008,1.4568,1.0000,-0.0007,1.4556,-2.2781,3.9850,115.49,1.1868,1.4562,41.303,53.714,0.6757,-2.0093,4.4830,0.6806,1.4553
8,3522,1,1,36,65,1.0000,1.0000,1.0000,4.5923,-0.0019,1.4553,1.0000,-0.0027,1.4562,1.0000,-0.0009,1.4565,-1.1845,4.5135,115.55,1.1929,1.4565,41.311,53.775,0.6760,-0.2665,2.5397,0.6842,1.4559
1,3523,1,1,43,64,1.0000,1.0000,1.0000,4.4646,-0.0001,1.4714,1.0000,-0.0015,1.4708,1.0000,-0.0024,1.4714,-2.0673,5.3752,115.09,1.1990,1.4729,41.972,54.627,0.6779,-1.6091,4.3699,0.6641,1.4720
2,3524,1,1,43,65,1.0000,1.0000,1.0000,4.3369,-0.0013,1.4723,1.0000,-0.0003,1.4714,1.0000,-0.0002,1.4717,-0.4300,3.5816,115.03,1.1990,1.4720,41.978,54.647,0.6779,-0.4758,3.8200,0.6647,1.4714
3,3525,1,1,42,64,1.0000,1.0000,1.0000,4.1453,-0.0013,1.4717,1.0000,-0.0005,1.4702,1.0000,-0.0002,1.4711,-1.5755,7.1290,115.12,1.1746,1.4720,41.834,54.424,0.6779,-1.1692,5.9191,0.6574,1.4714
4,3526,1,1,42,65,1.0000,1.0000,1.0000,4.1453,-0.0023,1.4714,1.0000,-0.0003,1.4702,1.0000,-0.0039,1.4705,-0.5796,4.5044,115.09,1.1715,1.4705,41.836,54.444,0.6782,-1.2120,4.7274,0.6550,1.4705
5,3527,1,1,41,64,1.0000,1.0000,1.0000,4.4129,-0.0008,1.4683,1.0000,-0.0003,1.4690,1.0000,-0.0025,1.4687,-2.4003,4.7580,115.24,1.1807,1.4690,41.744,54.343,0.6779,-1.5785,4.4097,0.6638,1.4683
6,3528,1,1,41,65,1.0000,1.0000,1.0000,4.8022,-0.0029,1.4683,1.0000,-0.0003,1.4690,1.0000,-0.0011,1.4693,-1.0715,3.9697,115.18,1.1776,1.4693,41.773,54.363,0.6776,-1.5205,4.2019,0.6598,1.4690
7,3529,1,1,40,64,1.0000,1.0000,1.0000,4.3186,-0.0027,1.4632,1.0000,-0.0007,1.4635,1.0000,-0.0005,1.4632,-2.4797,3.9911,115.40,1.1929,1.4632,41.734,54.323,0.6766,-1.1936,2.8300,0.6760,1.4629
8,3530,1,1,40,65,1.0000,1.0000,1.0000,4.7018,-0.0044,1.4629,1.0000,-0.0004,1.4629,1.0000,-0.0056,1.4635,-1.1906,4.0613,115.36,1.1898,1.4638,41.730,54.323,0.6773,-0.6682,2.1242,0.6730,1.4632
1,3531,1,1,47,64,1.0000,1.0000,1.0000,4.4068,-0.0006,1.4741,1.0000,-0.0064,1.4735,1.0000,-0.0018,1.4753,-0.4177,4.5563,114.82,1.2203,1.4763,42.070,54.728,0.6779,-0.6988,4.2477,0.6644,1.4757
2,3532,1,1,47,65,1.0000,1.0000,1.0000,4.6653,-0.0019,1.4750,1.0000,-0.0002,1.4741,1.0000,-0.0004,1.4744,-1.8687,3.2791,114.79,1.2173,1.4744,42.076,54.728,0.6779,-1.9909,3.2150,0.6635,1.4741
3,3533,1,1,46,64,1.0000,1.0000,1.0000,4.1817,-0.0009,1.4793,1.0000,-0.0008,1.4766,1.0000,-0.0018,1.4787,-3.3381,7.6882,114.85,1.1990,1.4796,42.143,54.830,0.6791,-3.0143,4.8038,0.6565,1.4790
4,3534,1,1,46,65,1.0000,1.0000,1.0000,4.2182,-0.0009,1.4793,1.0000,-0.0013,1.4769,1.0000,0.0000,1.4769,-0.7568,5.7205,114.82,1.1959,1.4775,42.161,54.830,0.6782,-0.4636,5.4546,0.6534,1.4769
5,3535,1,1,45,64,1.0000,1.0000,1.0000,4.4129,0.0000,1.4781,1.0000,-0.0001,1.4769,1.0000,-0.0016,1.4778,-2.6324,6.2735,114.82,1.1959,1.4784,42.188,54.891,0.6788,-2.7088,5.3844,0.6571,1.4775
6,3536,1,1,45,65,1.0000,1.0000,1.0000,4.2821,-0.0024,1.4775,1.0000,-0.0003,1.4769,1.0000,-0.0002,1.4769,-1.7649,4.5013,114.85,1.1929,1.4769,42.206,54.911,0.6785,-0.5155,3.7375,0.6547,1.4763
7,3537,1,1,44,64,1.0000,1.0000,1.0000,4.5771,-0.0005,1.4793,1.0000,-0.0054,1.4787,1.0000,-0.0015,1.4796,-0.8301,5.7510,114.94,1.2081,1.4802,42.108,54.850,0.6782,-0.4086,2.6803,0.6656,1.4793
8,3538,1,1,44,65,1.0000,1.0000,1.0000,4.8813,-0.0020,1.4793,1.0000,-0.0004,1.4787,1.0000,-0.0003,1.4790,-0.2894,3.6397,114.88,1.2112,1.4790,42.092,54.870,0.6779,-0.3475,3.8200,0.6656,1.4787
1,3539,1,1,51,64,1.0000,1.0000,1.0000,4.3673,-0.0005,1.4757,1.0000,-0.0008,1.4763,1.0000,-0.0014,1.4763,-2.5408,3.6977,114.54,1.2356,1.4769,41.968,54.647,0.6770,-2.4216,4.2386,0.6659,1.4769
2,3540,1,1,51,65,1.0000,1.0000,1.0000,4.5984,-0.0009,1.4772,1.0000,-0.0047,1.4766,1.0000,-0.0010,1.4763,-3.1609,5.9985,114.54,1.2295,1.4772,41.990,54.688,0.6773,-2.9929,3.5572,0.6650,1.4769
3,3541,1,1,50,64,1.0000,1.0000,1.0000,4.6106,-0.0020,1.4802,1.0000,-0.0004,1.4799,1.0000,-0.0007,1.4802,-1.8810,6.2490,114.57,1.2142,1.4808,42.011,54.688,0.6779,-1.3769,6.1024,0.6602,1.4805
4,3542,1,1,50,65,1.0000,1.0000,1.0000,4.8052,-0.0014,1.4802,1.0000,-0.0004,1.4796,1.0000,-0.0008,1.4799,-1.2975,4.5808,114.51,1.2081,1.4799,42.023,54.688,0.6782,-2.0001,4.8283,0.6574,1.4799
5,3543,1,1,49,64,1.0000,1.0000,1.0000,4.3338,-0.0038,1.4802,1.0000,-0.0007,1.4799,1.0000,-0.0031,1.4799,-1.0073,6.4752,114.63,1.2203,1.4808,42.074,54.749,0.6785,-1.3250,4.2141,0.6647,1.4802
6,3544,1,1,49,65,1.0000,1.0000,1.0000,4.2517,-0.0011,1.4805,1.0000,-0.0007,1.4799,1.0000,-0.0020,1.4802,-2.2048,5.9129,114.63,1.2112,1.4808,42.092,54.749,0.6779,-2.2017,5.3874,0.6580,1.4799
7,3545,1,1,48,64,1.0000,1.0000,1.0000,5.0364,-0.0008,1.4741,1.0000,-0.0003,1.4753,1.0000,-0.0013,1.4747,-0.2161,3.6550,114.70,1.2356,1.4753,42.123,54.769,0.6773,-0.2589,4.0063,0.6739,1.4747
8,3546,1,1,48,65,1.0000,1.0000,1.0000,4.7992,-0.0036,1.4744,1.0000,-0.0013,1.4750,1.0000,-0.0062,1.4747,-1.8810,4.9352,114.70,1.2325,1.4753,42.129,54.789,0.6766,-1.5388,5.0635,0.6702,1.4747
1,3547,1,1,55,64,1.0000,1.0000,1.0000,4.7961,-0.0023,1.4787,1.0000,-0.0004,1.4802,1.0000,-0.0062,1.4793,-2.7546,3.9880,114.30,1.2173,1.4799,41.775,54.485,0.6770,-1.3861,2.4633,0.6559,1.4796
2,3548,1,1,55,65,1.0000,1.0000,1.0000,5.0577,-0.0014,1.4796,1.0000,-0.0004,1.4805,1.0000,-0.0006,1.4811,-1.9695,3.6672,114.27,1.2142,1.4811,41.789,54.505,0.6773,-1.7832,2.2983,0.6550,1.4808
3,3549,1,1,54,64,1.0000,1.0000,1.0000,4.6197,-0.0014,1.4830,1.0000,-0.0005,1.4830,1.0000,-0.0001,1.4830,-3.2464,7.5323,114.27,1.1929,1.4833,41.854,54.586,0.6788,-2.2139,4.1286,0.6446,1.4823
4,3550,1,1,54,65,1.0000,1.0000,1.0000,4.8661,-0.0009,1.4833,1.0000,-0.0054,1.4836,1.0000,-0.0048,1.4833,-0.2986,6.2979,114.27,1.1868,1.4839,41.885,54.607,0.6782,-0.4972,5.0085,0.6422,1.4833
5,3551,1,1,53,64,1.0000,1.0000,1.0000,4.8722,-0.0015,1.4845,1.0000,-0.0029,1.4875,1.0000,-0.0007,1.4842,-2.4827,5.5830,114.39,1.1959,1.4848,41.917,54.667,0.6782,-2.6782,5.4546,0.6474,1.4848
6,3552,1,1,53,65,1.0000,1.0000,1.0000,4.6197,-0.0015,1.4845,1.0000,-0.0022,1.4878,1.0000,-0.0013,1.4875,-0.7171,4.4341,114.36,1.1929,1.4881,41.942,54.708,0.6788,-0.2237,4.4249,0.6422,1.4872
7,3553,1,1,52,64,1.0000,1.0000,1.0000,4.7018,-0.0016,1.4778,1.0000,-0.0011,1.4784,1.0000,-0.0007,1.4784,-1.8810,3.1722,114.42,1.2203,1.4784,41.875,54.546,0.6776,-1.7465,2.6069,0.6586,1.4781
8,3554,1,1,52,65,1.0000,1.0000,1.0000,4.7322,-0.0014,1.4784,1.0000,-0.0002,1.4784,1.0000,-0.0024,1.4787,-2.4827,5.2774,114.48,1.2142,1.4790,41.885,54.586,0.6776,-1.0501,2.6375,0.6553,1.4781
